סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
1327 ,מעלה עירון ,32 ,חדרה ,23 ,עפולה ,0 , ,16308 ,1552 ,3796 ,6883 ,1833 ,1238 ,1006
1330 ,אחוזת ברק ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,2681 ,144 ,667 ,943 ,432 ,265 ,230
1331 ,כמאנה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1683 ,153 ,395 ,732 ,189 ,109 ,105
1332 ,חוסנייה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,974 ,116 ,222 ,434 ,100 ,45 ,57
1333 ,נוף איילון ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,2268 ,164 ,461 ,902 ,190 ,323 ,228
1334 ,ראס אל-עין ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,432 ,41 ,98 ,204 ,40 ,28 ,21
1335 ,ערב אל נעים ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,898 ,91 ,201 ,470 ,82 ,36 ,18
1336 ,אירוס ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,959 ,55 ,293 ,308 ,173 ,84 ,46
1337 ,שמשית ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,2528 ,69 ,490 ,965 ,508 ,377 ,119
1338 ,כדיתה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,210 ,25 ,46 ,78 ,21 ,21 ,19
1339 ,אל-עזי ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,172 ,15 ,51 ,56 ,15 ,23 ,12
1340 ,מרחב עם ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,616 ,64 ,294 ,186 ,54 ,12 ,6
1342 ,אבו קרינאת )יישוב( ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר ,1526 ,296 ,412 ,657 ,104 ,29 ,28
1343 ,מכחול ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,1373 ,245 ,401 ,545 ,93 ,44 ,45
1344 ,גבעות בר ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1310 ,63 ,507 ,410 ,248 ,49 ,33
1345 ,צור יצחק ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,7272 ,724 ,2490 ,2346 ,944 ,273 ,495
1346 ,תראבין א-צאנע)ישוב( ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,1370 ,245 ,425 ,536 ,95 ,30 ,39
1347 ,קצר א-סר ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר ,2998 ,581 ,902 ,1168 ,202 ,81 ,64
1348 ,ביר הדאג' ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר ,3385 ,697 ,1101 ,1200 ,206 ,105 ,76
1349 ,דריג'את ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,1128 ,147 ,305 ,503 ,89 ,46 ,38
1358 ,אום בטין ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,4939 ,872 ,1519 ,2020 ,277 ,149 ,102
1359 ,אל סייד ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,4157 ,776 ,1186 ,1711 ,251 ,142 ,91
1360 ,סעוה ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,2513 ,500 ,774 ,923 ,200 ,74 ,42
1361 ,בת חן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,512 ,28 ,85 ,142 ,63 ,33 ,161
1362 ,גבעות עדן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,150 ,49 ,37 ,63 ,1 ,0 ,0
1363 ,בני נצרים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,971 ,162 ,412 ,312 ,52 ,21 ,12
