iter	Passed	Remaining
1047	90252	38925
1048	90329	38835
1049	90411	38747
1050	90519	38671
1051	90597	38581
1052	90676	38492
1053	90791	38418
1054	90884	38335
1055	90977	38251
1056	91070	38168
1057	91146	38078
1058	91236	37993
1059	91319	37906
1060	91393	37815
1061	91492	37734
1062	91578	37648
1063	91660	37560
1064	91745	37473
1065	91841	37391
1066	91935	37308
1067	92035	37227
1068	92122	37141
1069	92198	37051
1070	92266	36958
1071	92343	36868
1072	92424	36780
1073	92532	36702
1074	92609	36613
1075	92689	36524
1076	92773	36437
1077	92865	36353
1078	92944	36264
1079	93050	36186
1080	93149	36104
1081	93229	36016
1082	93337	35938
1083	93441	35859
1084	93525	35772
1085	93598	35681
1086	93691	35597
1087	93761	35505
1088	93851	35420
1089	93939	35335
1090	94033	35251
1091	94108	35161
1092	94176	35068
1093	94278	34988
1094	94369	34903
1095	94447	34814
1096	94523	34724
1097	94627	34645
1098	94694	34552
1099	94804	34474
1100	94931	34402
1101	95033	34322
1102	95145	34245
1103	95243	34163
1104	95332	34078
1105	95400	33985
1106	95469	33892
1107	95565	33810
1108	95631	33716
1109	95729	33634
1110	95803	33544
1111	95883	33455
1112	95987	33375
1113	96068	33287
1114	96175	33208
1115	96268	33124
1116	96353	33037
1117	96435	32950
1118	96516	32862
1119	96595	32773
1120	96684	32688
1121	96773	32602
1122	96842	32510
1123	96918	32421
1124	96971	32323
1125	97076	32243
1126	97161	32157
1127	97246	32070
1128	97357	31992
1129	97429	31901
1130	97538	31822
1131	97622	31735
1132	97754	31664
1133	97841	31578
1134	97930	31493
1135	98014	31405
1136	98089	31316
1137	98170	31228
1138	98249	31139
1139	98316	31047
1140	98415	30965
1141	98512	30882
1142	98609	30799
1143	98714	30718
1144	98801	30632
1145	98889	30547
1146	98987	30464
1147	99089	30382
1148	99190	30300
1149	99277	30214
1150	99353	30125
1151	99450	30042
1152	99538	29956
1153	99623	29869
1154	99698	29780
1155	99781	29692
1156	99865	29605
1157	99935	29514
1158	100019	29427
1159	100101	29340
1160	100180	29251
1161	100267	29165
1162	100357	29080
1163	100455	28997
1164	100543	28911
1165	100617	28821
1166	100721	28740
1167	100790	28649
1168	100911	28572
1169	100980	28481
1170	101069	28396
1171	101158	28310
1172	101259	28228
1173	101357	28145
1174	101444	28059
1175	101528	27972
1176	101604	27882
1177	101692	27797
1178	101778	27710
1179	101866	27624
1180	101942	27535
1181	102043	27453
1182	102139	27369
1183	102221	27282
1184	102311	27196
1185	102397	27110
1186	102499	27027
1187	102591	26943
1188	102678	26857
1189	102791	26777
1190	102860	26686
1191	102957	26603
1192	103058	26520
1193	103136	26431
1194	103218	26344
1195	103328	26264
1196	103415	26177
1197	103508	26093
1198	103589	26005
1199	103692	25923
1200	103788	25839
1201	103861	25749
1202	103949	25663
1203	104033	25576
1204	104121	25490
1205	104214	25405
1206	104316	25322
1207	104432	25243
1208	104526	25158
1209	104591	25067
1210	104677	24980
1211	104774	24896
1212	104842	24806
1213	104939	24722
1214	105020	24634
1215	105112	24549
1216	105187	24460
1217	105274	24373
1218	105346	24284
1219	105433	24197
1220	105526	24112
1221	105626	24029
1222	105729	23946
1223	105792	23855
1224	105884	23769
1225	105970	23683
1226	106055	23596
1227	106154	23513
1228	106238	23426
1229	106309	23336
1230	106390	23248
1231	106498	23166
1232	106610	23085
1233	106698	22999
1234	106859	22929
1235	106924	22838
1236	106990	22747
1237	107063	22658
1238	107143	22570
1239	107214	22480
1240	107304	22394
1241	107392	22308
1242	107503	22227
1243	107571	22136
1244	107665	22051
1245	107759	21966
1246	107837	21878
1247	107896	21786
1248	107975	21698
1249	108061	21612
1250	108117	21519
1251	108198	21432
1252	108259	21340
1253	108335	21252
1254	108421	21165
1255	108499	21077
1256	108579	20990
1257	108670	20904
1258	108743	20815
1259	108815	20726
1260	108892	20638
1261	108966	20549
1262	108998	20453
1263	109106	20371
1264	109169	20280
1265	109231	20189
1266	109302	20100
1267	109386	20013
1268	109473	19927
1269	109540	19838
1270	109617	19750
1271	109698	19662
1272	109761	19572
1273	109812	19480
1274	109866	19388
1275	109936	19299
1276	110005	19210
1277	110103	19126
1278	110218	19044
1279	110327	18962
1280	110441	18881
1281	110521	18793
1282	110608	18707
1283	110698	18622
1284	110801	18538
1285	110924	18458
1286	110998	18370
1287	111072	18282
1288	111162	18196
1289	111234	18107
1290	111297	18017
1291	111379	17931
1292	111457	17843
1293	111537	17756
1294	111611	17668
1295	111670	17577
1296	111740	17489
1297	111801	17398
1298	111878	17311
1299	111948	17222
1300	112028	17135
1301	112116	17050
1302	112205	16964
1303	112237	16869
1304	112338	16786
1305	112439	16702
1306	112544	16619
1307	112640	16534
1308	112719	16447
1309	112818	16362
1310	112907	16277
1311	112979	16189
1312	112993	16092
1313	113055	16003
1314	113109	15912
1315	113177	15824
1316	113252	15736
1317	113311	15646
1318	113374	15557
1319	113468	15473
1320	113603	15393
1321	113677	15305
1322	113752	15218
1323	113841	15132
1324	113930	15047
1325	113994	14958
1326	114066	14870
1327	114135	14782
1328	114195	14693
1329	114248	14603
1330	114321	14515
1331	114376	14425
1332	114443	14337
1333	114510	14249
1334	114588	14162
1335	114644	14073
1336	114705	13984
1337	114780	13897
1338	114858	13810
1339	114933	13723
1340	115020	13637
1341	115110	13552
1342	115177	13464
1343	115240	13376
1344	115299	13287
1345	115357	13198
1346	115450	13113
1347	115515	13025
1348	115592	12938
1349	115662	12851
1350	115749	12765
1351	115821	12678
1352	115888	12590
1353	115957	12503
1354	116027	12416
1355	116104	12329
1356	116178	12242
1357	116252	12156
1358	116322	12068
1359	116399	11982
1360	116455	11893
1361	116512	11805
1362	116556	11715
1363	116612	11627
1364	116674	11539
1365	116736	11451
1366	116793	11363
1367	116861	11276
1368	116953	11191
1369	116999	11102
1370	117050	11013
1371	117110	10925
1372	117190	10839
1373	117264	10753
1374	117354	10668
1375	117499	10588
1376	117657	10509
1377	117768	10426
1378	117836	10339
1379	117924	10254
1380	117980	10166
1381	118052	10079
1382	118102	9991
1383	118160	9903
1384	118221	9816
1385	118278	9728
1386	118346	9641
1387	118419	9555
1388	118474	9467
1389	118522	9379
1390	118573	9291
1391	118711	9210
1392	118849	9129
1393	118963	9045
1394	119081	8963
1395	119305	8888
1396	119384	8802
1397	119436	8714
